COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;SET/2024;09/2024;6000,00;66848,00;0,06%;0,71%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;SET/2024;09/2024;29500,00;21226,54;0,31%;0,22%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904722;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;OUT/2024;10/2024;0,00;2444,18;0,00%;0,03%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903916;MANUTENCAO E CONSERV. DE BENS IMOVEIS;OUT/2024;10/2024;4100,00;4788,00;0,04%;0,05%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903917;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;OUT/2024;10/2024;1290,00;1290,00;0,01%;0,01%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903920;MANUT.E CONS.DE B.MOVEIS DE OUTRAS NATUREZAS;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903925;TAXA DE ADMINISTRACAO;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903943;SERVICOS DE ENERGIA ELETRICA;OUT/2024;10/2024;0,00;32717,02;0,00%;0,35%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903944;SERVICOS DE AGUA E ESGOTO;OUT/2024;10/2024;0,00;5259,00;0,00%;0,06%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903947;SERVICOS DE COMUNICACAO EM GERAL;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903948;SERVICO DE SELECAO E TREINAMENTO;OUT/2024;10/2024;5200,00;550,00;0,05%;0,01%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903958;SERVICOS DE TELECOMUNICACOES;OUT/2024;10/2024;0,00;727,74;0,00%;0,01%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903969;SEGUROS EM GERAL;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903996;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;OUT/2024;10/2024;-10600,00;-10600,00;-0,11%;-0,11%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339034;OUTRAS DESP.PESSOAL DEC. CONTRATOS TERCEIRIZ.;33903401;OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO;OUT/2024;10/2024;0,00;0,00;0,00%;0,00%
339033;PASSAGENS E DESPESAS COM LOCOMOCAO;33903305;LOCOMOCAO URBANA;OUT/2024;10/2024;3996,63;9457,59;0,04%;0,10%
339032;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA;33903203;MATERIAL DESTINADO A ASSISTENCIA SOCIAL;OUT/2024;10/2024;0,00;10128,80;0,00%;0,11%
339030;MATERIAL DE CONSUMO;33903001;COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;OUT/2024;10/2024;1120,00;0,00;0,01%;0
339030;MATERIAL DE CONSUMO;33903003;COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES;OUT/2024;10/2024;659,28;0,00;0,01%;0
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;OUT/2024;10/2024;3943,00;9278,80;0,04%;0,10%
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;OUT/2024;10/2024;606,45;606,45;0,01%;0,01%
339030;MATERIAL DE CONSUMO;33903008;ANIMAIS PARA PESQUISA E ABATE;OUT/2024;10/2024;2422,50;2422,50;0,03%;0,03%
339030;MATERIAL DE CONSUMO;33903011;MATERIAL QUIMICO;OUT/2024;10/2024;840,00;2371,80;0,01%;0,03%
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;OUT/2024;10/2024;1472,50;1472,50;0,02%;0,02%
339030;MATERIAL DE CONSUMO;33903016;MATERIAL DE EXPEDIENTE;OUT/2024;10/2024;360,00;360,00;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903017;MATERIAL DE TIC - MATERIAL DE CONSUMO;OUT/2024;10/2024;0,00;1680,00;0,00%;0,02%
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;OUT/2024;10/2024;0,00;1457,24;0,00%;0,02%
339030;MATERIAL DE CONSUMO;33903022;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;OUT/2024;10/2024;250,72;0,00;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;OUT/2024;10/2024;7152,88;1334,28;0,08%;0,01%
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;OUT/2024;10/2024;30,46;0,00;0,00%;0
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;OUT/2024;10/2024;3384,75;3119,47;0,04%;0,03%
339030;MATERIAL DE CONSUMO;33903031;SEMENTES, MUDAS DE PLANTAS E INSUMOS;OUT/2024;10/2024;0,00;40177,80;0,00%;0,42%
339030;MATERIAL DE CONSUMO;33903036;MATERIAL HOSPITALAR;OUT/2024;10/2024;0,00;536,52;0,00%;0,01%
339030;MATERIAL DE CONSUMO;33903042;FERRAMENTAS;OUT/2024;10/2024;632,25;0,00;0,01%;0
339030;MATERIAL DE CONSUMO;33903096;MATERIAL DE CONSUMO - PAGTO ANTECIPADO;OUT/2024;10/2024;-24600,00;-24600,00;-0,26%;-0,26%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;OUT/2024;10/2024;63100,00;21105,67;0,67%;0,22%
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;OUT/2024;10/2024;5000,00;6803,84;0,05%;0,07%
